Nº Borough;Borough;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3
1;Ciutat Vella;7,60;7,76;8,40;9,74;10,32;10,71;10,54;10,87;10,85;11,28;11,41;11,71;12,07;12,27;12,18
2;Eixample;5,08;5,12;5,52;6,30;6,71;6,89;6,71;6,91;6,71;6,84;6,86;6,94;7,12;7,16;7,06
3;Sants-Montjuïc  ;6,42;6,56;6,92;7,95;8,38;8,61;8,50;8,68;8,50;8,63;8,58;8,72;8,98;9,07;8,99
4;Les Corts;5,49;5,62;5,81;6,62;7,00;7,08;6,95;7,14;6,98;6,94;6,92;7,05;7,24;7,31;7,21
5;Sarrià-Sant Gervasi  ;3,71;3,74;3,92;4,49;4,71;4,79;4,78;4,81;4,75;4,73;4,79;4,86;4,95;5,01;4,93
6;Gràcia  ;5,74;5,73;6,20;7,12;7,48;7,69;7,59;7,69;7,46;7,49;7,45;7,55;7,65;7,68;7,57
7;Horta - Guinardó  ;6,85;6,87;7,30;8,25;8,71;8,86;8,69;8,79;8,69;8,74;8,65;8,85;9,13;9,24;9,11
8;Nou Barris  ;8,69;8,80;9,13;10,25;10,74;11,13;10,82;10,93;10,77;11,04;11,06;11,16;11,51;11,72;11,65
9;Sant Andreu  ;7,23;7,31;7,86;8,68;9,02;9,15;8,98;9,19;8,99;9,10;9,01;9,09;9,34;9,45;9,34
10;Sant Martí  ;7,08;7,15;7,65;8,51;8,83;9,04;8,94;9,08;8,93;8,95;8,95;9,06;9,29;9,43;9,32
