Nº Borough;Borough;Population;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3
0;TOTAL  ;1095455;70109;71205;76682;86541;90923;93114;90923;93114;90923;92018;92018;94209;96400;97495;96400
1;Ciutat Vella;83424;6337;6474;7004;8123;8610;8933;8792;9072;9050;9409;9517;9768;10066;10234;10161
2;Eixample;155002;7876;7935;8554;9764;10398;10678;10398;10708;10398;10596;10640;10760;11035;11099;10944
3;Sants-Montjuïc  ;153522;9860;10074;10626;12208;12863;13218;13044;13326;13056;13246;13174;13382;13779;13929;13797
4;Les Corts;49959;2744;2809;2902;3309;3495;3538;3474;3567;3488;3467;3459;3524;3617;3652;3602
5;Sarrià-Sant Gervasi  ;93658;3474;3503;3668;4203;4407;4485;4481;4503;4452;4434;4482;4556;4633;4694;4617
6;Gràcia  ;81484;4676;4670;5056;5802;6097;6264;6183;6264;6081;6104;6068;6155;6231;6262;6166
7;Horta - Guinardó  ;111564;7644;7670;8149;9202;9722;9887;9697;9812;9698;9755;9651;9870;10181;10310;10165
8;Nou Barris  ;110787;9628;9744;10117;11361;11893;12332;11988;12106;11937;12226;12250;12367;12749;12980;12906
9;Sant Andreu  ;97578;7059;7133;7673;8465;8799;8932;8765;8965;8772;8880;8788;8870;9113;9223;9115
10;Sant Martí  ;158477;11227;11333;12129;13492;13993;14332;14169;14390;14148;14184;14191;14361;14723;14941;14765
